Model,Cross-Validation Accuracy,Test Accuracy
Logistic Regression,0.9997149826632358,0.9996832875618782
Random Forest,0.9999602301502023,0.9999869844203512
KNN,0.9999084088007312,0.999943599154855
Decision Tree,0.999947576092066,0.9999392606283054
Neural Network (MLP),0.9998909341659633,0.999865505676962
