Model,Cross-Validation Accuracy,Test Accuracy
Logistic Regression,0.990089861281426,0.9900875156277906
Random Forest,0.9912712637453305,0.9913377388819432
KNN,0.990700717984811,0.9907349526701197
Decision Tree,0.9873952708599172,0.9864707983568495
Neural Network (MLP),0.9901735829327803,0.9900875156277906
