Model,Cross-Validation Accuracy,Test Accuracy
Logistic Regression,0.9976989703960137,0.9984939091915837
Random Forest,0.9998277303584354,0.9998671096345515
KNN,0.9992617014550396,0.9995570321151717
Decision Tree,0.9996000878386496,0.9995570321151717
Neural Network (MLP),0.9991694149649396,0.9990254706533777
